Run Source,Experiment ID,Timeframe,Swing Window,Contraction Waves,Trade Count,Win Rate,Profit Factor,Expectancy (USD),CAGR,Sharpe Ratio,Max Drawdown,Quality Score,Verdict,PF_clean,Neg_Drawdown,Pareto Optimal
V1,C002-E11455,15m,3,2,34959,59.283732372207446,0.7030246183099076,0.0,-96.61196367086646,-4.952941302407221,99.9964866754164,-7.726352202055088,,0.7030246183099076,-99.9964866754164,False
V1,C002-E11456,15m,3,2,105885,56.706804552108416,0.8297393176552956,0.0,-88.6429852538914,-2.4361949337143445,99.8722196110154,-3.823275279026375,,0.8297393176552956,-99.8722196110154,False
V1,C002-E11457,15m,3,2,118296,61.01812402786231,0.8357875959049685,0.0,-86.75096105789169,-2.2008148430939305,99.80920830519254,-3.4635267517878527,,0.8357875959049685,-99.80920830519254,False
V1,C002-E11458,15m,3,2,121340,61.10845557936378,0.8438798454196151,0.0,-86.17247980141957,-2.149627169618173,99.78962340304068,-3.3784571430380517,,0.8438798454196151,-99.78962340304068,False
V1,C002-E11459,15m,3,2,35055,59.25260305234631,0.7053986280653569,0.0,-96.47845343994776,-4.88171914812616,99.99605516887624,-7.617140645812645,,0.7053986280653569,-99.99605516887624,False
V1,C002-E11460,15m,3,2,132263,68.23147819117969,0.8913417460830573,0.0,-78.74637689477049,-1.3905805770259054,99.41485084349964,-2.1886776278907973,,0.8913417460830573,-99.41485084349964,False
V1,C002-E11461,15m,3,2,35116,59.178152409158216,0.7027314366970473,0.0,-96.5036471303835,-4.896165149877969,99.99611887828968,-7.641477476902802,,0.7027314366970473,-99.99611887828968,False
V1,C002-E11462,15m,3,2,40229,62.50714658579631,0.6972536129579519,0.0,-96.52558798176253,-4.237400005560718,99.99618903780733,-6.658808285761198,,0.6972536129579519,-99.99618903780733,False
V1,C002-E11463,15m,3,2,40265,62.543151620514095,0.6976705571568736,0.0,-96.49653950783276,-4.230073321155551,99.99609273874287,-6.647400351963881,,0.6976705571568736,-99.99609273874287,False
V1,C002-E11464,15m,3,2,40300,62.54838709677419,0.7000611539034243,0.0,-96.45528305311372,-4.2122490021636745,99.99595320194209,-6.618271881361509,,0.7000611539034243,-99.99595320194209,False
V1,C002-E11465,15m,3,2,131502,68.34192635853447,0.8790440734653303,0.0,-79.164120373147,-1.397952983822732,99.43853413080356,-2.2122707435768034,,0.8790440734653303,-99.43853413080356,False
V1,C002-E11466,15m,3,2,54459,47.14372280063902,0.829372138901047,0.0,-93.15077288275296,-3.214476191967348,99.97324321484572,-4.992074581198432,,0.829372138901047,-99.97324321484572,False
V1,C002-E11467,15m,3,2,130831,68.51510727579854,0.8725424766664909,0.0,-78.89469084264877,-1.3821787670500465,99.418097605171,-2.1949066499602887,,0.8725424766664909,-99.418097605171,False
V1,C002-E11468,15m,3,2,83138,57.2313502850682,0.8926543139900325,0.0,-86.39843624073687,-2.160340362166928,99.7973297220416,-3.3458295264807756,,0.8926543139900325,-99.7973297220416,False
V1,C002-E11469,15m,3,2,56090,47.2936352290961,0.8255500816591991,0.0,-93.0581073447429,-3.209596439749541,99.97066578587392,-4.988551235823852,,0.8255500816591991,-99.97066578587392,False
V1,C002-E11470,15m,3,2,57776,47.39511215729715,0.841808184333276,0.0,-92.16522320026942,-3.077397455827493,99.96018006070112,-4.773889800014975,,0.841808184333276,-99.96018006070112,False
V1,C002-E11471,15m,3,2,71709,53.75754786707386,0.8701806864021833,0.0,-86.64971406675951,-2.1978542459810613,99.81032054758448,-3.4247038880452534,,0.8701806864021833,-99.81032054758448,False
V1,C002-E11472,15m,3,2,75239,53.95738912000425,0.8747980166040662,0.0,-87.42883098818241,-2.2962942622136184,99.844175029741,-3.5680851270137715,,0.8747980166040662,-99.844175029741,False
V1,C002-E11473,15m,3,2,73548,53.90629248925871,0.8601294250792859,0.0,-87.258536809843,-2.264070275860638,99.82758938078707,-3.534251882519542,,0.8601294250792859,-99.82758938078707,False
V1,C002-E11474,15m,3,2,87082,57.5756183826738,0.904287490967003,0.0,-84.22548239049698,-1.936413210418121,99.68575844173368,-2.997189909077515,,0.904287490967003,-99.68575844173368,False
V1,C002-E11475,15m,3,2,84982,57.5274764067685,0.8860695219996582,0.0,-86.02690123634073,-2.106232607392432,99.77146159202114,-3.270994005009201,,0.8860695219996582,-99.77146159202114,False
V1,C002-E11476,15m,3,2,27062,60.2061931860173,0.7705144403349797,0.0,-93.7103288370098,-3.901468049197751,99.9787771726203,-6.081475405187851,,0.7705144403349797,-99.9787771726203,False
V1,C002-E11477,15m,3,2,98509,61.82074734288238,0.8658339512367799,0.0,-85.90856685889928,-1.9910698606821595,99.78922655585606,-3.11866310534502,,0.8658339512367799,-99.78922655585606,False
V1,C002-E11478,15m,3,2,100030,61.94741577526742,0.8576990193950451,0.0,-85.78929962135169,-1.9647156935834476,99.77813988261936,-3.0871559198063196,,0.8576990193950451,-99.77813988261936,False
V1,C002-E11479,15m,3,2,102150,61.91678903573177,0.8660083209308084,0.0,-85.44144091219889,-1.9331676963809392,99.77060487293302,-3.0314492723699304,,0.8660083209308084,-99.77060487293302,False
V1,C002-E11480,15m,3,2,26938,60.21976390229416,0.7700655171841255,0.0,-93.80239109404629,-3.9402782120349498,99.97969469736582,-6.140148747841957,,0.7700655171841255,-99.97969469736582,False
V1,C002-E11481,15m,3,2,27005,60.24439918533605,0.7739367854928807,0.0,-93.58933007914072,-3.876602859520665,99.97752979696423,-6.04074280175776,,0.7739367854928807,-99.97752979696423,False
V1,C002-E11482,15m,3,2,31189,63.8430215781205,0.6983402070296034,0.0,-93.6502911247534,-3.2879047789804723,99.97960743095436,-5.2333130357506485,,0.6983402070296034,-99.97960743095436,False
V1,C002-E11483,15m,3,2,31152,63.78081664098614,0.6976464881965571,0.0,-93.69344141527873,-3.291998032274331,99.9800199801108,-5.240150760016047,,0.6976464881965571,-99.9800199801108,False
V1,C002-E11484,15m,3,2,58848,47.10440456769984,0.8239033203085181,0.0,-93.3167261736886,-3.356526734399304,99.97293582495956,-5.210616139540034,,0.8239033203085181,-99.97293582495956,False
V1,C002-E11485,15m,3,2,31202,63.85167617460419,0.7024916139602646,0.0,-93.57010667791036,-3.2722602892453367,99.9788258068204,-5.205687077975945,,0.7024916139602646,-99.9788258068204,False
V1,C002-E11486,15m,3,2,116332,68.78073101124367,0.920312598539868,0.0,-68.50182866907441,-0.7985454880887843,98.00606559087862,-1.2575662895020947,,0.920312598539868,-98.00606559087862,False
V1,C002-E11487,15m,3,2,117184,68.69453167667942,0.9191570367062816,0.0,-69.62542175378752,-0.8399046131428622,98.29719862036296,-1.3236718692116414,,0.9191570367062816,-98.29719862036296,False
V1,C002-E11488,15m,3,2,117985,68.47565368479044,0.9199213868917806,0.0,-71.25702580132575,-0.9133429251950688,98.45374780779798,-1.4346304789788025,,0.9199213868917806,-98.45374780779798,False
V1,C002-E11489,15m,3,2,56805,46.86911363436317,0.8293830504058529,0.0,-93.05688598745792,-3.25500809065822,99.97043965063888,-5.052833482087866,,0.8293830504058529,-99.97043965063888,False
V1,C002-E11490,15m,3,2,75135,52.942037665535366,0.8403824781980788,0.0,-89.48802875602824,-2.568886001606887,99.9051913306824,-4.011998437519075,,0.8403824781980788,-99.9051913306824,False
V1,C002-E11491,15m,3,2,60686,47.314042777576375,0.8379568607244011,0.0,-92.02470558958493,-3.1140006725078857,99.95440717051272,-4.832588219742555,,0.8379568607244011,-99.95440717051272,False
V1,C002-E11492,15m,3,2,101947,60.7237093784025,0.8273355661640506,0.0,-87.21905330698509,-2.1133597950569016,99.8297354156236,-3.341001480577538,,0.8273355661640506,-99.8297354156236,False
V1,C002-E11493,15m,3,2,77153,53.13856881780359,0.8177933973519012,0.0,-90.61612446693064,-2.7210261666076136,99.926510834956,-4.26301096090908,,0.8177933973519012,-99.926510834956,False
V1,C002-E11494,15m,3,2,79011,53.54064623913126,0.8372260726381208,0.0,-90.49360868336623,-2.7145693533173376,99.92865273492048,-4.233914484687091,,0.8372260726381208,-99.92865273492048,False
V1,C002-E11495,15m,3,2,87133,57.27680672076022,0.809496899899549,0.0,-92.67709306261622,-3.045700212991681,99.96635309479312,-4.758716950535903,,0.809496899899549,-99.96635309479312,False
V1,C002-E11496,15m,3,2,89595,57.632680395111336,0.7919322076306752,0.0,-92.49141611467586,-2.9793963458458226,99.96098098801126,-4.676772121018171,,0.7919322076306752,-99.96098098801126,False
V1,C002-E11497,15m,3,2,91502,57.8063867456449,0.8223902599638799,0.0,-91.12621757948708,-2.7543900514608635,99.9386415479925,-4.30858123270734,,0.8223902599638799,-99.9386415479925,False
V1,C002-E11498,15m,3,2,105847,61.08911920035524,0.8339583918520953,0.0,-85.88779619028836,-2.0065141827795765,99.75354853442208,-3.1733483676614904,,0.8339583918520953,-99.75354853442208,False
V1,C002-E11499,15m,3,2,103848,61.125876280717975,0.8257069525670324,0.0,-86.03516821960164,-2.021931836411339,99.76073555064654,-3.204798157556441,,0.8257069525670324,-99.76073555064654,False
V1,C002-E11500,15m,3,2,32317,60.15719280873844,0.8036409960316843,0.0,-95.73327636850958,-4.4163981441369575,99.99353906359396,-6.820891610809691,,0.8036409960316843,-99.99353906359396,False
V1,C002-E11501,15m,3,2,36790,63.90867083446589,0.7241361669209682,0.0,-95.19289197039778,-3.5311755064383097,99.99014989803308,-5.572528591716827,,0.7241361669209682,-99.99014989803308,False
V1,C002-E11502,15m,3,2,32519,60.14330083950921,0.8088975240101288,0.0,-95.6130239963746,-4.371344369541252,99.99297777674404,-6.748048808069191,,0.8088975240101288,-99.99297777674404,False
V1,C002-E11503,15m,3,2,32636,60.06557176124525,0.806644237682534,0.0,-95.80914428413386,-4.417912487797948,99.9938975473234,-6.820163469487622,,0.806644237682534,-99.9938975473234,False
V1,C002-E11504,15m,3,2,36674,63.87086219119812,0.7174695310502821,0.0,-95.2703464058625,-3.553908092252056,99.9906179788337,-5.613298787116139,,0.7174695310502821,-99.9906179788337,False
V1,C002-E11505,15m,3,2,36754,63.92229417206291,0.7200604039135764,0.0,-95.24120735374964,-3.553111867461596,99.9904436632572,-5.609511833911389,,0.7200604039135764,-99.9904436632572,False
V1,C002-E11506,15m,3,2,123259,69.47403435043283,0.8716255270811228,0.0,-75.4034084521632,-1.110604356007838,98.95091802635258,-1.7837901871941602,,0.8716255270811228,-98.95091802635258,False
V1,C002-E11507,15m,3,2,121465,69.58794714526817,0.8578101816346564,0.0,-76.45197907212227,-1.124163200051593,99.18220577603977,-1.820256676203131,,0.8578101816346564,-99.18220577603977,False
V1,C002-E11508,15m,3,2,122382,69.55026065924727,0.8544938424924976,0.0,-76.192847181477,-1.1444313520469849,99.11061693955268,-1.8532593549735066,,0.8544938424924976,-99.11061693955268,False
V1,C002-E11509,15m,3,2,74846,46.66515244635652,0.7916519920182016,0.0,-94.53067305815613,-3.4841408709846067,99.98581032179236,-5.434417417676632,,0.7916519920182016,-99.98581032179236,False
V1,C002-E11510,15m,3,2,95499,52.63720038953288,0.8525192512286026,0.0,-87.33280467233749,-2.291873140258935,99.8270204103649,-3.5835606632634485,,0.8525192512286026,-99.8270204103649,False
V1,C002-E11511,15m,3,2,76639,46.67466955466538,0.797500816381079,0.0,-94.65901812514312,-3.529629965313038,99.98671899074972,-5.496811321495975,,0.797500816381079,-99.98671899074972,False
V1,C002-E11512,15m,3,2,78483,46.87511945262031,0.8093975037321351,0.0,-93.95579923070022,-3.364919067326462,99.9809296133957,-5.237790393391516,,0.8093975037321351,-99.9809296133957,False
V1,C002-E11513,15m,3,2,93372,52.58428650987448,0.8571747326198229,0.0,-87.35041163072678,-2.2749784236068806,99.83110238232284,-3.5536039266137265,,0.8571747326198229,-99.83110238232284,False
V1,C002-E11514,15m,3,2,108350,57.00876788186433,0.8437275562785881,0.0,-87.09266817636292,-2.2356265624669693,99.81837642967383,-3.5078960517186046,,0.8437275562785881,-99.81837642967383,False
V1,C002-E11515,15m,3,2,97043,52.801335490452686,0.8700541362505372,0.0,-86.85895259668013,-2.254963682064507,99.81695879773008,-3.5105609748235245,,0.8700541362505372,-99.81695879773008,False
V1,C002-E11516,15m,3,2,104617,56.88081286980128,0.8475804466428836,0.0,-88.00048325686524,-2.3128907745400986,99.85785130807136,-3.620334228247978,,0.8475804466428836,-99.85785130807136,False
V1,C002-E11517,15m,3,2,106520,56.672925272249344,0.8346995844423454,0.0,-88.31427004135458,-2.366372485485434,99.86081090038547,-3.713467252789661,,0.8346995844423454,-99.86081090038547,False
V1,C002-E11518,15m,3,2,35225,59.24485450674237,0.7055765840846843,0.0,-96.99022427902813,-5.085731888143957,99.99753613242213,-7.922996609455471,,0.7055765840846843,-99.99753613242213,False
V1,C002-E11519,15m,3,2,118901,61.08863676503983,0.8425055985537382,0.0,-85.55911678859655,-2.070314353675632,99.74956774457048,-3.2604616094054144,,0.8425055985537382,-99.74956774457048,False
V1,C002-E11520,15m,3,2,120415,60.97080928455757,0.8367049573059268,0.0,-85.6207139440454,-2.0834943214771866,99.75475956783522,-3.286084120588206,,0.8367049573059268,-99.75475956783522,False
V1,C002-E11521,15m,3,2,121889,61.134310725332064,0.8543011125217989,0.0,-84.51432626939516,-1.9863346030289533,99.70103953167713,-3.122211187338402,,0.8543011125217989,-99.70103953167713,False
V1,C002-E11522,15m,3,2,40497,62.500925994518106,0.692288466402342,0.0,-97.0093667781077,-4.387416490589266,99.9975685880286,-6.8888119553618425,,0.692288466402342,-99.9975685880286,False
V1,C002-E11523,15m,3,2,35320,59.21574178935447,0.7080188122126547,0.0,-96.87161829081565,-5.014940774448055,99.99723351585756,-7.814364684618004,,0.7080188122126547,-99.99723351585756,False
V1,C002-E11524,15m,3,2,35381,59.1419123258246,0.7053713263168405,0.0,-96.8939992189113,-5.029345153943879,99.99727819485054,-7.838619186547484,,0.7053713263168405,-99.99727819485054,False
V1,C002-E11525,15m,3,2,40461,62.46508983959863,0.6919081712361193,0.0,-97.034163213339,-4.394214732371236,99.99762851304584,-6.899390212451194,,0.6919081712361193,-99.99762851304584,False
V1,C002-E11526,15m,3,2,132428,68.29220406560546,0.8981548294598221,0.0,-77.27942882728362,-1.3028234258818885,99.2852634706031,-2.048932944069042,,0.8981548294598221,-99.2852634706031,False
V1,C002-E11527,15m,3,2,40532,62.50616796605152,0.6945827745498716,0.0,-96.97414933399033,-4.3697084988912485,99.99748175701689,-6.859954791357169,,0.6945827745498716,-99.99748175701689,False
